NameId	NRPSPREDICTOR2	Name	NRPSPred2_LogP
2-oxo-isovaleric-acid	2-oxo-isovaleric-acid	2-oxo-isovaleric-acid 3-methyl-2-oxobutanoic acid	-6.64
33p-l-ala	33p-l-ala	3-(3-pyridyl)-l-alanine	-6.64
4ppro	4ppro	4-propyl-proline 4-Propylpyrrolidine-2-carboxylic acid	-6.64
HICA	HICA	alpha-hydroxy-isocaproic-acid leucic acid	-6.64
LDAP	LDAP	diaminopimelic acid	-6.64
aad	aad	2-amino-adipic acid	-6.64
abu	abu	2-amino-butyric acid	-2.25
aeo	aeo	2-amino-8-oxo-9,10-decanoate	-6.64
ala	ala	alanine	-2.85
alaninol	alaninol	alaninol	-6.64
arg	arg	arginine	-4.28
asn	asn	asparagine	-3.79
asp	asp	aspartic acid	-6.64
b-ala	b-ala	beta-alanine	-6.64
b-lys	b-lys	beta-lysine	-6.64
bht	bht	beta-hydroxy-tyrosine	-6.64
bmt	bmt	4-butenyl-4-methyl threonine	-6.64
cap	cap	capreomycidine	-6.64
cys	cys	cysteine	-3.79
cysa	cysa	cysteic acid	-6.64
dab	dab	2,4-diaminobutyric acid	-3.35
dhb	dhb	2,3-dihydroxy-benzoic acid	-6.64
dhpg	dhpg	3,5-dihydroxy-phenyl-glycine	-6.64
dht	dht	dehydro-threonine 2,3-dehydroaminobutyric acid	-6.64
dpr	dpr	2,3-diaminopropionic acid	-6.64
gln	gln	glutamine	-3.46
glu	glu	glutamic acid	-3.5
gly	gly	glycine	-3.04
glycolic-acid	glycolic-acid	glycolic acid 2-hydroxyacetic acid	-6.64
his	his	histidine	-6.64
hiv	hiv	2-hydroxyisovalerate	-6.64
hpg	hpg	4-hydroxy-phenyl-glycine	-5.29
hse	hse	homoserine	-6.64
hty	hty	homotyrosine	-6.64
hyv	hyv	4-hydroxy-L-valine	-6.64
ile	ile	isoleucine	-2.87
indole-3-carboxylic	indole-3-carboxylic	Indole-3-carboxylic acid	-6.64
iva	iva	isovaline	-6.64
kyn	kyn	kynurenine	-6.64
leu	leu	leucine	-2.24
lys	lys	lysine	-4.6
lyserg	lyserg	lysergic acid	-6.64
met	met	methionine	-6.64
orn	orn	ornithine	-3.97
phe	phe	phenylalanine	-2.81
phe-ac	phe-ac	phenylacetate	-6.64
phg	phg	phenyl-glycine	-6.64
pip	pip	pipecolic acid	-5.58
piperazic	piperazic	piperazic acid	-6.64
pro	pro	proline	-3.21
sal	sal	salicylic acid	-6.64
ser	ser	serine	-2.57
tcl	tcl	(4S)-5,5,5-trichloro-leucine	-2.25
thr	thr	threonine	-2.25
trp	trp	tryptophan	-4.19
tyr	tyr	tyrosine	-3.42
val	val	valine	-2.15
vol	vol	valinol	-6.64
