NameID	LogP
2-oxo-isovaleric-acid	-6.411818267709897
33p-l-ala	-6.411818267709897
4ppro	-6.411818267709897
HICA	-6.411818267709897
LDAP	-6.411818267709897
aad	-6.411818267709897
abu	-3.578604923653681
aeo	-6.411818267709897
ala	-2.9460823649101706
alaninol	-6.411818267709897
arg	-4.620058798481843
asn	-4.214593690373677
asp	-2.8854577430937356
b-ala	-6.411818267709897
b-lys	-6.411818267709897
bht	-6.411818267709897
bmt	-6.411818267709897
cap	-6.411818267709897
cys	-4.465908118654584
cysa	-6.411818267709897
dab	-3.367295829986474
dhb	-6.411818267709897
dhpg	-4.802380355275797
dht	-6.411818267709897
dpr	-6.411818267709897
gln	-3.367295829986474
glu	-3.639229545470116
gly	-3.115981401705568
glycolic-acid	-6.411818267709897
his	-5.313205979041787
hiv	-4.332376726030061
hpg	-4.620058798481843
hse	-5.313205979041787
hty	-6.411818267709897
hyv	-6.411818267709897
ile	-2.915310706243417
indole-3-carboxylic	-6.411818267709897
iva	-6.411818267709897
kyn	-6.411818267709897
leu	-1.9344814532316903
lys	-4.465908118654584
lyserg	-6.411818267709897
met	-6.411818267709897
orn	-3.7727609380946387
phe	-3.4160859941559063
phe-ac	-6.411818267709897
phg	-6.411818267709897
pip	-5.718671087149952
piperazic	-6.411818267709897
pro	-3.5214465098137326
sal	-6.411818267709897
ser	-2.748256621580251
tcl	-6.411818267709897
thr	-2.540617256802006
trp	-3.7727609380946387
tyr	-4.109233174715851
val	-2.1777117631126375
vol	-6.411818267709897
none	-6.411818267709897
