NameID	LogP
2-oxo-isovaleric-acid	-2.91
33p-l-ala	-2.91
4ppro	-2.91
HICA	-2.91
LDAP	-2.91
aad	-2.91
abu	-2.91
aeo	-2.91
ala	-2.91
alaninol	-2.91
arg	-2.91
asn	-2.91
asp	-2.91
b-ala	-2.91
b-lys	-2.91
bht	-2.91
bmt	-2.91
cap	-2.91
cys	-2.91
cysa	-2.91
dab	-2.91
dhb	-2.91
dhpg	-2.91
dht	-2.91
dpr	-2.91
gln	-2.91
glu	-2.91
gly	-2.91
glycolic-acid	-2.91
his	-2.91
hiv	-2.91
hpg	-2.91
hse	-2.91
hty	-2.91
hyv	-2.91
ile	-2.91
indole-3-carboxylic	-2.91
iva	-2.91
kyn	-2.91
leu	-2.91
lys	-2.91
lyserg	-2.91
met	-2.91
orn	-2.91
phe	-2.91
phe-ac	-2.91
phg	-2.91
pip	-2.91
piperazic	-2.91
pro	-2.91
sal	-2.91
ser	-2.91
tcl	-2.91
thr	-2.91
trp	-2.91
tyr	-2.91
val	-2.91
vol	-2.91
NA	-2.91
