genome	mols	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	cnt_match
BGC0001192	BGC0001192.1	0.8215128383067315	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
BGC0000310	BGC0001792.2	0.22342931937172777	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0001312	BGC0001792.2	0.1947287615148414	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0001393	BGC0001792.2	0.05657062543921295	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000463	BGC0001792.2	0.08045101325613281	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000306	BGC0000388	0.01130434782608694	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0001192	BGC0001153	0.9426786953504509	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
BGC0000378	BGC0001402.5	0.025745046029021678	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001312	BGC0001402.5	0.22313203684749233	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000463	BGC0000464.2	0.0662806643303367	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	14
BGC0000378	BGC0000389	0.00015603058199406403	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0000463	BGC0000389	0.35837269541368266	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0000389	0.7766120777891505	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0000378	BGC0000306	0.07661101575908877	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000306	BGC0000306	0.5306521739130435	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001562	BGC0000452	0.1390906645143933	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
BGC0001657	BGC0000452	0.07668108533228468	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000310	BGC0000452	0.09999999999999998	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0001207	0.1059365404298874	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000463	BGC0001207	0.17141551119914666	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001192	BGC0001207	0.013324080499652988	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0000413	BGC0000386.3	0.07416967819652381	-0.18562329390354873	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0000413	BGC0000424.2	0.2293925314059542	-0.3560812860175917	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000463	BGC0000447.2	0.25537101935090645	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	18
BGC0000378	BGC0001402.3	0.025745046029021678	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001695	BGC0000300	0.06616223825444305	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000378	BGC0000397	0.025745046029021675	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000306	BGC0000397	0.16521739130434784	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001131	BGC0000397	0.0011448196908986656	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001657	BGC0000397	0.044960020972604514	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001657	BGC0001406	0.08048236990431247	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0000378	BGC0001628.2	0.04337650179435169	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000306	BGC0001628.2	0.02543478260869565	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001393	BGC0001628.2	0.05657062543921293	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0001312	BGC0000463.1	0.20112589559877178	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	14
BGC0000463	BGC0000463.1	0.46914520798415343	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	14
BGC0000310	BGC0000310	0.9345549738219895	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001312	BGC0001196	0.16427840327533266	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000378	BGC0001196	0.07255422062724293	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000310	BGC0001196	0.008638743455497347	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001312	BGC0001133	0.35261003070624364	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
BGC0000342	BGC0000453	0.0715648854961832	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0000463	BGC0001133	0.14916958707907962	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
